ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.0369450541948,-1123.1853146232918,4418.703522676097
2014-01-04,1052.6940917261832,-1802.4001081226309,3801.9607920942003
2014-01-05,1144.516173753063,-1705.629855042124,3842.406836775385
2014-01-06,1269.848510035089,-1401.103144950866,3910.4599493144447
2014-01-07,612.3711176164157,-2037.4003014657965,3480.7508888311513
2014-01-09,822.5235925512063,-1993.2407047208742,3617.4908156013003
2014-01-10,1043.267675106478,-1947.1746023078647,3720.089998575917
2014-01-11,613.1043384466603,-2313.254095772071,3351.239998814817
2014-01-13,972.925328755457,-1745.371347187967,3343.21124483022
2014-01-14,390.00999274208357,-2500.3619614702748,3065.038193170714
2014-01-15,-467.8741057998011,-3240.5984294195787,2282.2897034377634
2014-01-16,747.9996658995359,-1945.3143555514696,3321.7442796867977
2014-01-18,674.3735178449654,-1852.8408976992382,3439.853847161622
2014-01-19,895.6764309852808,-1961.2715945261093,3603.043003867093
2014-01-20,1146.4645593387522,-1566.5300768302411,3874.4958326899737
2014-01-21,607.8042535354773,-2119.521307752237,3252.74065517893
2014-01-23,1025.9617967156287,-1717.1362538859905,3905.113512782358
2014-01-26,1185.9048365890171,-1439.0598110695755,3993.504339173697
2014-01-27,1419.7955913856051,-1134.9552698868579,4289.384411456572
2014-01-28,854.3963785406472,-1806.8842494597336,3709.479490971118
2014-01-30,1192.7910884313958,-1513.6608562398897,4047.9019064351296
2014-01-31,1447.5430596812114,-1010.5071866377502,4268.161044170155
2014-02-01,1030.652992004223,-1645.7218854155276,3936.8127939448386
2014-02-02,1184.8831035290766,-1570.7861467745172,3838.5907597261566
2014-02-03,1355.7635046399118,-1404.4787743087486,4128.027226712539
2014-02-04,726.5541377852675,-1892.360598519546,3574.217908696069
2014-02-06,941.7641182657434,-1940.075188174071,3849.459445265264
2014-02-07,1140.4996830385664,-1824.0890952630366,3847.938702484283
2014-02-08,673.4298836554366,-2084.0735250040652,3421.73469030012
2014-02-11,267.4077578157103,-2513.1736048717976,2930.7243871097867
2014-02-12,-668.3141984965191,-3365.741995298178,1914.02644342477
2014-02-14,672.7487202828605,-1869.2272682897926,3486.860951330229
2014-02-15,225.8796942509773,-2454.1307503674807,2863.6174205994243
2014-02-16,368.9078476832244,-2393.9043686811838,3296.4842308024586
2014-02-17,548.222510423646,-2043.4577001636353,3219.923285619633
2014-02-18,-52.50645853384094,-2583.1151128234696,2799.052847556489
2014-02-20,279.13544478399695,-2305.481925051817,3074.7380909538306
2014-02-21,564.343043746069,-2225.625534878173,3214.930584225673
2014-02-22,200.862584449319,-2485.35385796924,2903.9157138973633
2014-02-23,431.0992545383831,-2152.6814447476127,3433.265420009164
2014-02-24,699.7046214943151,-1959.1712993653193,3538.26410072872
2014-02-27,693.0245791416609,-1855.9324816775704,3448.026798887136
2014-03-01,767.6379057360025,-2114.8567542572737,3476.246158645582
2014-03-02,1062.9210819859481,-1502.8914574317396,3827.228495362349
2014-03-03,1387.1925952228598,-1380.5048270569607,4182.984308987865
2014-03-04,921.2374133853905,-1691.1192827426814,3732.15763287333
2014-03-05,170.06369598910624,-2796.4867340632168,2710.2516812728786
2014-03-07,1855.9630883087107,-934.4679874701905,4688.937636235356
2014-03-10,2140.0126433724918,-384.30408626674415,5199.309681505877
2014-03-11,1635.7332683647628,-1174.8992801109753,4426.6694929208625
2014-03-14,2397.6963970071256,-487.99518795601415,5116.2817832354285
2014-03-15,2031.730646998894,-683.5820352147405,4622.6563011591625
2014-03-16,2233.9339489000467,-536.0401582623997,5063.976124699191
2014-03-17,2449.643589671626,-430.10042507594665,5365.297568138177
2014-03-18,1861.9034957288952,-1037.8629642106673,4678.243792693665
2014-03-19,978.2057142681033,-1593.4235164712886,3803.9403468974415
2014-03-21,2377.542561415282,-331.48835353638543,5228.831034995928
2014-03-22,1935.813139594527,-630.5922994785841,4830.592760858279
2014-03-23,2067.649581433129,-698.0192949148407,4898.2132874975
2014-03-24,2219.50233792078,-510.0734235852823,4652.954919233827
2014-03-25,1575.3489945382985,-1032.568177645248,4690.552377064462
2014-03-26,643.4192943273746,-2120.46734296567,3362.566488088502
2014-03-28,1972.744524351512,-846.9420413854366,4592.757335773721
2014-03-29,1509.6554678237515,-1212.0261712208157,4225.323079305512
2014-03-30,1629.1575980904745,-1065.038053309391,4603.077768569116
2014-03-31,1777.3950134067343,-987.8914792983699,4564.778891196101
2014-04-01,1137.8533271131778,-1540.9978245704622,3856.4733632938696
2014-04-02,218.103178734224,-2479.5901982972814,3032.2809475890604
2014-04-03,1368.298160630665,-1416.388719696885,3901.944476077868
2014-04-04,1591.155004831237,-1112.2159135415438,4424.488617596922
2014-04-05,1157.6727745723788,-1659.4979330480398,3919.1963641867305
2014-04-06,1310.5256436443688,-1460.384154014438,3962.6601883016083
2014-04-07,1494.744417593643,-1511.8907533911663,4053.0292992289214
2014-04-08,892.6975305837155,-2126.6379248200615,3728.06403470553
2014-04-11,1456.9304082084561,-1345.0258190142304,4158.817626647774
2014-04-12,1056.7231259948705,-1863.4649632796036,3915.083875288885
2014-04-13,1239.6656071106684,-1570.72581797976,4005.4464878502463
2014-04-15,870.17192749615,-1971.140678460909,3639.625064223266
2014-04-16,5.809175055192554,-2825.6021386474704,2911.8246188492026
2014-04-18,1472.6480882029132,-1210.990215730002,4347.7208717081685
2014-04-19,1075.8850621143606,-1745.2217835576337,3837.9006543863015
2014-04-20,1257.9758223853182,-1472.7126501966234,3989.7410615140816
2014-04-21,1463.750431560165,-1403.9206763891498,4157.932865588858
2014-04-22,875.6302902906394,-1738.6500098120387,3471.4574280170614
2014-04-23,0.3886107349842405,-2812.6180674191282,2771.2171145964353
2014-04-25,1439.909152415424,-1237.0674082636756,4338.177892175142
2014-04-26,1028.1690753454075,-1477.7864917717561,3687.4617330646565
2014-04-28,1387.1366293264089,-1352.6753750388812,4028.716275330885
2014-04-29,786.4933986294675,-2050.7120066322254,3366.0786908741075
2014-04-30,-99.14769304367974,-2975.7464493457596,2490.86835109742
2014-05-02,1327.9861226107073,-1369.9354369023392,4300.377684535514
2014-05-03,915.0311298747569,-1906.4193966735413,3375.969941672102
2014-05-04,1084.6906763140219,-1751.5096819703072,3868.1304143074253
2014-05-05,1282.6152712802839,-1526.4419740901646,4137.422402710917
2014-05-06,691.8830633028672,-2015.0985596889989,3317.350741165743
2014-05-07,-180.25686368533502,-2815.1271616114327,2446.197325697091
2014-05-08,1016.1109711428289,-1672.5809343500002,3698.510086956714
2014-05-09,1283.54410345892,-1416.9906631111014,3801.724204298506
2014-05-10,892.9549536005367,-1819.7121388905623,3652.451120450405
2014-05-11,1086.9956795748224,-1701.7343015656797,3949.167890746167
2014-05-12,1310.7305045110916,-1706.5271733403015,4104.445555813486
2014-05-13,746.6065703528838,-2022.4649240902334,3505.553122263229
2014-05-14,-98.7843785569396,-2705.396855078709,2604.7068051053334
2014-05-16,1416.2884482869954,-1269.5681731763052,4119.69192452108
2014-05-17,1048.9441628019604,-1768.67842832053,3818.638461449742
2014-05-18,1263.8494654881054,-1563.3992271677391,4138.945362612697
2014-05-19,1505.5520791721228,-1259.1279885569381,4441.499162122263
2014-05-20,956.0576643189754,-1797.6615313620246,3542.956927278361
2014-05-21,121.60258225731832,-2653.956808114598,3239.385636115205
2014-05-22,1351.1766744805054,-1326.919963922746,4019.112275558599
2014-05-23,1646.5233648454373,-1144.8080390453836,4180.494262745887
2014-05-24,1277.8734317988558,-1415.1260371411613,3810.4878602094927
2014-05-25,1487.3467849821807,-1100.1931839767217,4208.303659313039
2014-05-26,1719.637304755438,-990.3036546914989,4648.357784467083
2014-05-27,1156.9915359258268,-1599.962254873661,3859.661378467496
2014-05-28,305.9734163223843,-2348.6076863715352,3052.6214639753375
2014-05-30,1789.2135764738946,-935.0360445541984,4548.192285474469
2014-05-31,1396.4336363497432,-1329.56653187412,4314.564938965577
2014-06-01,1580.3122282704699,-1062.2774114988165,4361.721155952643
2014-06-02,1786.1194053777297,-1052.5250505711665,4504.805884196348
2014-06-03,1196.6832744162891,-1543.9193318500095,3858.823213331852
